Backbone Accessibility h=2	Merged Accessibility h=2	Backbone Accessibility h=3	Merged Accessibility h=3
0.926063	1	0	0
0.921299	1	0	0
0.916927	1	0	0
0.922711	1	0	0
0.936361	1	0	0
0.931284	1	0	0
0.940933	1	0	0
0.914846	1	0	0
0.929704	1	0	0
0.922878	1	0.0135135	1
0.911938	1	0	0
0.921419	1	0.0119048	1
0.934245	1	0	0
0.944515	1	0	0
0.917866	1	0	0
0.918135	1	0	0
0.917558	1	0	0
0.9261	1	0	0
0.918087	1	0	0
0.926316	1	0	0
0.922259	1	0	0
0.911146	1	0	0
0.896662	1	0	0
0.890697	1	0	0
0.925517	1	0	0
0.892293	1	0	0
0.908576	1	0	0
0.935605	1	0	0
0.926969	1	0	0
0.928083	1	0	0
0.92108	1	0	0
0.754897	1	0	0
0.913696	1	0	0
0.915872	1	0	0
0.93467	1	0	0
0.927438	1	0	0
0.913959	1	0	0
0.914573	1	0	0
0.912856	1	0	0
0.916308	1	0	0
0.914202	1	0	0
0.920919	1	0	0
0.89081	1	0	0
0.890697	1	0	0
0.901688	1	0	0
0.889838	1	0	0
0.922497	1	0	0
0.87481	1	0	0
0.901932	1	0	0
0.907583	1	0.0125	1
0.940995	1	0	0
0.929364	1	0	0
0.927929	1	0	0
0.905134	1	0	0
0.911278	1	0	0
0.896713	1	0	0
0.923695	1	0	0
0.91696	1	0	0
0.925097	1	0	0
0.910094	1	0	0
0.932719	1	0	0
0.898165	1	0	0
0.920963	1	0	0
0.92948	1	0	0
0.907379	1	0	0
0.926966	1	0	0
0.931149	1	0.0107527	1
0.9446	1	0	0
0.929381	1	0	0
0.927237	1	0	0
0.892801	1	0	0
0.897684	1	0	0
0.911279	1	0	0
0.904305	1	0	0
0.906551	1	0	0
0.916449	1	0	0
0.929744	1	0	0
0.869336	0.524227	0	0
0.939809	1	0	0
0.92132	1	0	0
0.926244	1	0	0
0.920971	1	0	0
0.91522	1	0.00925926	1
0.916301	1	0	0
0.93046	1	0	0
0.94098	1	0	0
0.922828	1	0	0
0.909722	1	0	0
0.904881	1	0	0
0.903084	1	0	0
0.906794	1	0	0
0.892912	1	0	0
0.955467	0.523024	0	0
0.950212	1	0	0
0.924558	1	0	0
0.947745	1	0	0
0.875713	1	0	0
0.927252	1	0	0
0.880236	1	0.130603	1
0.920813	1	0	0
0.924622	1	0	0
0.927531	1	0	0
0.937904	1	0	0
0.918166	1	0	0
0.928103	1	0	0
0.921887	1	0	0
0.936727	1	0	0
0.926792	1	0	0
0.925055	1	0	0
0.925854	1	0	0
0.934019	1	0	0
0.911886	1	0	0
0.935972	1	0.00925926	1
0.886643	1	0	0
0.924759	1	0	0
0.937228	1	0	0
0.937756	1	0	0
0.914637	1	0	0
0.923957	1	0.010989	1
0.935197	1	0	0
0.905353	1	0	0
0.915344	1	0	0
0.922546	1	0	0
0.933845	1	0	0
0.920925	1	0	0
0.941543	1	0	0
0.933704	1	0	0
0.929261	1	0	0
0.938686	1	0	0
0.935136	1	0	0
0.931575	1	0	0
0.877875	1	0.0378728	1
0.904214	1	0	0
0.938271	1	0	0
0.938514	1	0.00990099	1
0.9317	1	0	0
0.936768	1	0	0
0.927018	1	0	0
0.934003	1	0	0
0.892544	1	0	0
0.91828	1	0	0
0.917572	1	0	0
0.934201	1	0	0
0.938467	1	0	0
0.941711	1	0	0
0.908016	1	0	0
0.934466	1	0	0
0.927642	1	0	0
0.921606	1	0	0
0.929023	1	0	0
0.934943	1	0	0
0.929956	1	0	0
0.940329	1	0	0
0.911931	1	0	0
